iter	Passed	Remaining
620	56216	1301672
621	56293	1301274
622	56381	1301124
623	56464	1300853
624	56545	1300544
625	56623	1300162
626	56710	1300008
627	56794	1299763
628	56882	1299611
629	56960	1299248
630	57040	1298918
631	57116	1298494
632	57194	1298132
633	57275	1297827
634	57357	1297542
635	57452	1297567
636	57533	1297248
637	57607	1296793
638	57688	1296509
639	57767	1296154
640	57848	1295865
641	57928	1295550
642	58009	1295241
643	58091	1294962
644	58178	1294808
645	58256	1294443
646	58337	1294153
647	58418	1293867
648	58502	1293629
649	58578	1293231
650	58656	1292869
651	58737	1292589
652	58820	1292344
653	58910	1292258
654	58990	1291942
655	59069	1291612
656	59150	1291326
657	59232	1291058
658	59315	1290805
659	59398	1290574
660	59484	1290398
661	59566	1290132
662	59645	1289790
663	59728	1289551
664	59809	1289266
665	59893	1289052
666	59973	1288759
667	60049	1288375
668	60132	1288123
669	60214	1287863
670	60300	1287700
671	60381	1287425
672	60463	1287155
673	60546	1286926
674	60624	1286597
675	60708	1286372
676	60792	1286160
677	60872	1285857
678	60951	1285544
679	61031	1285253
680	61108	1284893
681	61195	1284739
682	61274	1284439
683	61354	1284131
684	61435	1283862
685	61515	1283578
686	61597	1283321
687	61676	1283006
688	61756	1282723
689	61841	1282545
690	61922	1282281
691	62000	1281944
692	62082	1281700
693	62158	1281317
694	62240	1281078
695	62318	1280746
696	62401	1280534
697	62485	1280324
698	62571	1280172
699	62653	1279911
700	62738	1279731
701	62824	1279570
702	62905	1279308
703	62982	1278975
704	63062	1278699
705	63143	1278440
706	63223	1278157
707	63302	1277851
708	63391	1277749
709	63473	1277524
710	63560	1277385
711	63643	1277155
712	63726	1276938
713	63809	1276731
714	63893	1276524
715	63976	1276320
716	64058	1276078
717	64138	1275801
718	64223	1275626
719	64302	1275333
720	64393	1275286
721	64478	1275112
722	64555	1274779
723	64634	1274474
724	64718	1274282
725	64799	1274033
726	64882	1273816
727	64962	1273559
728	65043	1273298
729	65123	1273037
730	65206	1272816
731	65288	1272595
732	65364	1272244
733	65446	1272006
734	65531	1271845
735	65606	1271484
736	65697	1271433
737	65780	1271222
738	65865	1271057
739	65954	1270953
740	66035	1270724
741	66117	1270488
742	66206	1270401
743	66285	1270107
744	66369	1269930
745	66454	1269758
746	66538	1269581
747	66619	1269333
748	66706	1269210
749	66787	1268960
750	66868	1268712
751	66949	1268476
752	67035	1268334
753	67113	1268043
754	67196	1267833
755	67277	1267594
756	67358	1267360
757	67444	1267215
758	67531	1267075
759	67611	1266826
760	67695	1266641
761	67775	1266392
762	67853	1266095
763	67936	1265890
