iter	MAE
1031	775.937906
1032	775.6653025
1033	775.6256791
1034	775.5669282
1035	775.4602681
1036	775.1668917
1037	774.8661242
1038	774.8204996
1039	774.7306654
1040	774.5862928
1041	774.3012453
1042	774.1869382
1043	774.1342905
1044	774.1027251
1045	773.915598
1046	773.642371
1047	773.5588845
1048	773.5055175
1049	773.2824566
1050	772.9645595
1051	772.8929622
1052	772.6711283
1053	772.518984
1054	772.2843107
1055	772.1001518
1056	771.9634861
1057	771.7777169
1058	771.6692696
1059	771.5704396
1060	771.5227135
1061	771.4788521
1062	771.3433467
1063	771.1528272
1064	771.0833803
1065	771.0488082
1066	770.8639581
1067	770.7552069
1068	770.7038405
1069	770.6432296
1070	770.5076712
1071	770.3833262
1072	770.2607861
1073	770.1906161
1074	770.0396448
1075	769.9093187
1076	769.6644785
1077	769.5419768
1078	769.3353694
1079	769.2215015
1080	769.1611274
1081	769.0296749
1082	768.8007057
1083	768.7457284
1084	768.4974581
1085	768.4683792
1086	768.2009382
1087	768.1629582
1088	768.103032
1089	768.0559024
1090	768.0111637
1091	767.9061085
1092	767.7354642
1093	767.5977767
1094	767.4708145
1095	767.3650322
1096	767.2427695
1097	767.1748528
1098	767.1098653
1099	766.997844
1100	766.531091
1101	766.3216115
1102	766.115528
1103	766.0645242
1104	765.9189353
1105	765.8231117
1106	765.7791161
1107	765.6129278
1108	765.5282823
1109	765.3366279
1110	765.1578685
1111	764.9258178
1112	764.8611662
1113	764.8088376
1114	764.604256
1115	764.440914
1116	764.2343066
1117	764.1911794
1118	764.1536432
1119	764.0192051
1120	763.9675785
1121	763.8958736
1122	763.8653482
1123	763.7944795
1124	763.7379603
1125	763.4813119
1126	763.2571253
1127	763.153475
1128	763.0595858
1129	762.9212559
1130	762.8217853
1131	762.7456185
1132	762.6440899
1133	762.6036616
1134	762.4692252
1135	762.3986509
1136	762.3660605
1137	762.3271545
1138	762.2094803
1139	762.1399316
1140	762.0464571
1141	761.9910593
1142	761.8574801
1143	761.5994568
1144	761.5765978
1145	761.5152957
1146	761.3942934
1147	761.3442885
1148	761.2502189
1149	761.1240267
1150	760.9348709
1151	760.8675453
1152	760.6611643
1153	760.6193064
1154	760.5453512
1155	760.494298
1156	760.3259285
1157	760.1937061
1158	759.7954557
1159	759.6928334
1160	759.5890158
1161	759.3799548
1162	759.2959572
1163	758.8947419
1164	758.8311553
1165	758.7193122
1166	758.5077746
1167	758.4642493
1168	758.4259383
1169	758.2609323
1170	758.2273619
1171	758.1196354
1172	758.0716037
1173	758.0258195
1174	757.9307124
1175	757.8050288
1176	757.684895
1177	757.5927268
1178	757.4562565
1179	757.2387841
1180	757.0932235
1181	756.8921304
1182	756.8169514
1183	756.7745001
1184	756.5955755
1185	756.5582573
1186	756.518991
1187	756.2668838
1188	756.2017755
1189	756.1718626
1190	756.1092172
1191	755.7126815
1192	755.6872928
1193	755.4337013
1194	755.0907918
1195	754.9454676
1196	754.6485839
1197	754.5459508
1198	754.5001439
1199	754.4853844
1200	754.3187378
1201	754.1029803
1202	753.9187788
1203	753.8838431
1204	753.6050178
1205	753.4425557
1206	753.4062579
1207	753.3899282
1208	753.2653419
1209	752.9709478
1210	752.9237129
1211	752.7228239
1212	752.7004977
1213	752.4586134
1214	752.3306399
1215	752.0222941
1216	751.9568265
1217	751.8376041
1218	751.7028352
1219	751.4264981
1220	751.1879118
1221	750.9973422
1222	750.9203176
1223	750.8384415
1224	750.6843672
1225	750.5149039
1226	750.4104922
1227	750.3522405
1228	750.2816743
1229	750.2520655
1230	750.2150161
1231	750.1169421
1232	750.0818666
1233	749.91486
1234	749.833694
1235	749.7965888
1236	749.7526219
1237	749.7304574
1238	749.3579511
1239	749.1779305
1240	749.1162399
1241	748.9345327
1242	748.8840113
1243	748.7707013
1244	748.6476829
1245	748.6286896
1246	748.541484
1247	748.4347242
1248	748.2360952
1249	748.1955448
1250	748.1226289
1251	748.0827116
1252	747.8424652
1253	747.5733509
1254	747.4799879
1255	747.3616867
1256	747.3326728
1257	747.2775915
1258	747.1784832
1259	747.0724621
1260	747.0410088
1261	746.9563691
1262	746.6105221
1263	746.5614277
1264	746.4585818
1265	746.1561863
1266	746.0289701
1267	745.9297623
1268	745.8901401
1269	745.8557514
1270	745.7882271
1271	745.5867715
1272	745.504537
1273	745.3584292
1274	745.1866122
1275	745.0868512
1276	744.7949524
1277	744.7111776
1278	744.5338251
1279	744.3231239
1280	744.2937003
1281	744.2052426
1282	743.9615101
1283	743.6517422
1284	743.4727123
1285	743.4213988
1286	743.0751826
1287	742.9995422
1288	742.8618536
1289	742.5421412
1290	742.4244898
1291	742.3883322
1292	742.1750819
1293	742.1455769
1294	742.0595478
1295	741.9065495
1296	741.8271046
1297	741.6666707
1298	741.5615911
1299	741.5139599
